SMILES,GENERIC_NAME,SYNONYMS
O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,Zoledronic acid,"(1-hydroxy-2-(1H-imidazol-1-yl)ethylidene)bisphosphonic acid; (1-hydroxy-2-imidazol-1-ylethylidene)diphosphonic acid; ácido zoledrónico; Anhydrous Zoledronic Acid; Nanoparticles containing Zoledronic acid; Zol; Zoledronate; Zoledronic acid; Zoledronic Acid Anhydrous; Zoledronic Acid, Anhydrous"
CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,Eszopiclone,"(+)-(5S)-6-(5-Chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo(3,4-b)pyrazin-5-yl 4-methylpiperazine-1-carboxylate; (+)-(5S)-6-(5-chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo[3,4-b]pyrazin-5-yl-4-methylpiperazine-1-carboxylate; (+)-Zopiclone; (S)-6-(5-Chloro-2-pyridinyl)- 7-oxo- 6,7-dihydro- 5H-pyrrolo[3,4-b]pyrazin-5-yl- 4-methyl- 1-piperazinecarboxylate; (S)-Zopiclone; 1-Piperazinecarobxylic acid,4-methyl-,(5S)-6-(5-chloro-2-pyridinyl)-6,7-dihydro-7-oxo-5H-pyrrolo[3,4-b]pyrazin-5-yl ester; Esopiclone; Eszopiclone"
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,Alprazolam,"8-Chloro-1-methyl-6-phenyl-4H-s-triazolo(4,3-a)(1,4)benzodiazepine; Alprazolam"
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,Gentian violet cation,Crystal Violet; Crystal violet carbocation; Crystal violet ion(1); Crystal violet(1+); Gentian violet carbocation; Gentian violet cation; Gentian violet(1+); Methylrosaniline; Methylrosanilinium
C[N+](C)(C)CCOC(N)=O,Carbamoylcholine,Carbacholine; carbacol; Carbamylcholine; Choline carbamate
COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3.[I-].[I-],Metocurine iodide,Dimethyl tubocurarine iodide; Dimethylchondrocurarine iodide; Dimethyltubocurarinium iodide; Metocurine iodide; Metocurini iodidum; Metubine iodide
CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,Phenoxymethylpenicillin,"(2S,5R,6R)-3,3-DIMETHYL-7-OXO-6-(2-PHENOXYACETAMIDO)-4-THIA-1- AZABICYCLO(3.2.0)HEPTANE-2-CARBOXYLIC ACID; (2S,5R,6R)-3,3-dimethyl-7-oxo-6-[(phenoxyacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid; 6-phenoxyacetamidopenicillanic acid; Fenoximetilpenicilina; Oracillin; Penicillin Phenoxymethyl; Penicillin V; Phenoxomethylpenicillin; Phenoxymethyl Penicillin; Phenoxymethylenepenicillinic acid; Phenoxymethylpenicillin; Phénoxyméthylpénicilline; Phenoxymethylpenicillinum; PV"
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,Secobarbital,"(±)-secobarbital; 5-(1-methylbutyl)-5-(2-propenyl)-2,4,6(1H,3H,5H)-pyrimidinetrione; 5-allyl-5-(1-methylbutyl)-2,4,6(1H,3H,5H)-pyrimidinetrione; 5-allyl-5-(1-methylbutyl)barbituric acid; 5-allyl-5-(1-methylbutyl)pyrimidine-2,4,6(1H,3H,5H)-trione; Quinalbarbitone; Secobarbital; Secobarbitalum; Secobarbitone"
COC(=O)C(c1ccccc1)C1CCCCN1,Methylphenidate,Methyl phenidylacetate; methyl phenyl(piperidin-2-yl)acetate; methyl α-phenyl-α-(2-piperidyl)acetate; methyl α-phenyl-α-2-piperidinylacetate; Methylphenidan; Methylphenidate; Methylphenidatum; Metilfenidato; MPH; α-phenyl-2-piperidineacetic acid methyl ester
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Zolpidem,"N,N,6-Trimethyl-2-(4-methylphenyl)imidazo(1,2-a)pyridine-3-acetamide; Zolpidem; Zolpidemum"
CCCCC[C@](C)(O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O.NC(CO)(CO)CO,Carboprost tromethamine,"(15S)-15-methyl-PGF2α tromethamine salt; (15S)-15-methylprostaglandin F2α tromethamine; 1,3-dihydroxy-2-(hydroxymethyl)propan-2-aminium (5Z,9α,11β,13E,15S)-9,11,15-trihydroxy-15-methylprosta-5,13-dien-1-oate; 15(S)-15-methyl-PGF2α tromethamine salt; 15(S)-15-methylprostaglandin F2α tromethamine; Carboprost trometamol; Carboprost tromethamine"
[N]=O,Nitric Oxide,EDRF; endothelium-derived relaxing factor; Mononitrogen monoxide; Monóxido de nitrógeno; Monoxyde d'azote; Nitric Oxide; Nitrogen monooxide; Nitrogen monoxide; Nitrosyl; NO; óxido de nitrógeno(II); óxido nítrico; Oxyde azotique; Oxyde nitrique; Stickstoff(II)-oxid; Stickstoffmonoxid
COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,Cerivastatin,Cerivastatin
NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,Framycetin,Fradiomycin B; Framicetina; Framycetin; Framycétine; Framycetinum; Neomycin B
