SMILES,GENERIC_NAME,SYNONYMS
NC(=O)CC[C@H](N)C(=O)O,L-Glutamine,"(2S)-2-amino-4-carbamoylbutanoic acid; (2S)-2,5-diamino-5-oxopentanoic acid; (S)-2,5-diamino-5-oxopentanoic acid; Glutamic acid 5-amide; Glutamic acid amide; Glutamina; Glutamine; L-(+)-glutamine; L-2-aminoglutaramic acid; L-glutamic acid γ-amide; L-Glutamin; L-Glutamine; L-Glutaminsäure-5-amid; Levoglutamide; Q"
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Adenosine phosphate,5'-Adenosine monophosphate; 5'-Adenylic acid; 5'-AMP; 5'-O-Phosphonoadenosine; Adenosine 5'-(dihydrogen phosphate); Adenosine 5'-monophosphate; Adenosine 5'-phosphate; Adenosine monophosphate; Adenosine phosphate; Adenosine-5'-Monophosphate; Adenosine-5'-monophosphoric acid; Adenosine-5'P; Adenosini phosphas; Adenylate; Adenylic acid; Ado5'P; AMP; Fosfato de adenosina; PAdo; Phosphate d'adénosine
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,alpha-Linolenic acid,"(9,12,15)-linolenic acid; (9Z,12Z,15Z)-Octadecatrienoic acid; (Z,Z,Z)-9,12,15-octadecatrienoic acid; 9-cis,12-cis,15-cis-octadecatrienoic acid; 9,12,15-Octadecatrienoic acid; ALA; all-cis-9,12,15-Octadecatrienoic acid; alpha-Linolenic acid; cis-delta(9,12,15)-Octadecatrienoic acid; cis,cis,cis-9,12,15-Octadecatrienoic acid; Linolenic acid; α-linolenic acid"
CSCC[C@H](N)C(=O)O,Methionine,(2S)-2-amino-4-(methylsulfanyl)butanoic acid; (S)-2-amino-4-(methylthio)butanoic acid; (S)-2-amino-4-(methylthio)butyric acid; (S)-methionine; L-(−)-methionine; L-a-Amino-g-methylthiobutyric acid; L-Methionin; L-Methionine; L-α-amino-γ-methylmercaptobutyric acid; M; Met; Methionine
N[C@@H](Cc1ccc(O)cc1)C(=O)O,Tyrosine,(−)-α-amino-p-hydroxyhydrocinnamic acid; (2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid; (S)-(-)-Tyrosine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; (S)-3-(p-Hydroxyphenyl)alanine; (S)-alpha-amino-4-Hydroxybenzenepropanoic acid; (S)-Tyrosine; (S)-α-amino-4-hydroxybenzenepropanoic acid; 4-hydroxy-L-phenylalanine; L-Tyrosin; L-tyrosine; Tirosina; Tyr; Tyrosine; Tyrosinum; Y
C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,Calcitriol,"(1S,3R,5Z,7E)-9,10-secocholesta-5,7,10-triene-1,3,25-triol; (1α,3β,5Z,7E)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol; (5Z,7E)-(1S,3R)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol; 1-alpha-25-Dihydroxyvitamin D3; 1,25-DHCC; 1,25-dihydroxycholecalciferol; 1α,25-dihydroxycholecalciferol; 1α,25-dihydroxyvitamin D3; 1α,25(OH)2D3; Calcitriol; Calcitriolum"
CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,Lutein,Xanthophyll; Xantofyl
N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,Cystine,"(R,R)-3,3'-dithiobis(2-aminopropanoic acid); Cistina; Cystine; L-alpha-Diamino-beta-dithiolactic acid; L-Cystine; L-Dicysteine; β,β'-dithiodialanine"
O=C(O)CCC(=O)O,Succinic acid,"1,2-ethanedicarboxylic acid; Acide butanedioïque; Acide succinique; Acidum succinicum; Amber acid; Asuccin; Bernsteinsäure; Butandisäure; Butanedioic acid; Butanedionic acid; Dihydrofumaric acid; Ethylenesuccinic acid; Spirit of amber; Succinic acid"
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,Riboflavin,"1-Deoxy-1-(7,8-dimethyl-2,4-dioxo-3,4-dihydrobenzo[g]pteridin-10(2H)-yl)pentitol; 6,7-Dimethyl-9-D-ribitylisoalloxazine; 7,8-Dimethyl-10-(D-ribo-2,3,4,5-tetrahydroxypentyl)isoalloxazine; 7,8-Dimethyl-10-ribitylisoalloxazine; Lactoflavin; Lactoflavine; Riboflavin; Riboflavina; Riboflavine; Riboflavinum; Vitamin B2; Vitamin Bi; Vitamin G"
CC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,N-Acetylglucosamine,2-Acetamido-2-deoxy-D-glucose; aldehydo-N-acetyl-D-glucosamine; D-GlcNAc; N-Acetyl-D-glucosamine; N-Acetylchitosamine
N[C@@H](CCC(=O)O)C(=O)O,Glutamic acid,(2S)-2-Aminopentanedioic acid; (S)-2-Aminopentanedioic acid; (S)-Glutamic acid; ácido glutámico; Glu; Glutamic acid; L-Glutamate; L-Glutamic acid; L-Glutaminic acid
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,Glutathione,"5-L-Glutamyl-L-cysteinylglycine; AEC GLUTATHIONE; gamma-L-Glutamyl-L-cysteinyl-glycine; Glutathion; Glutathione; Glutathione-SH; GLYCINE, L-.GAMMA.-GLUTAMYL-L-CYSTEINYL-; GSH; L-GLUTATHIONE REDUCED; Liposomal glutathione; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; Reduced glutathione; REDUCED L-GLUTATHIONE"
NCC(=O)O,Glycine,Aminoacetic acid; Aminoessigsäure; Aminoethanoic acid; Glicina; Gly; Glycin; Glycine; Glycocoll; Glykokoll; Glyzin; Leimzucker
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,Calcifediol,"(3S,5Z,7E)-9,10-secocholesta-5,7,10-triene-3,25-diol; (3β,5Z,7E)-9,10-secocholesta-5,7,10(19)-triene-3,25-diol; (5Z,7E)-(3S)-9,10-secocholesta-5,7,10(19)-triene-3,25-diol; 25-hydroxycholecalciferol; 25-Hydroxyvitamin D3; Calcidiol; Calcifédiol; Calcifediol; Calcifediol anhydrous; Calcifediolum"
CN(CC(=O)O)C(=N)N,Creatine,((amino(Imino)methyl)(methyl)amino)acetic acid; (alpha-Methylguanido)acetic acid; (N-methylcarbamimidamido)acetic acid; (α-methylguanido)acetic acid; alpha-Methylguanidino acetic acid; Creatin; Creatine; Kreatin; Methylglycocyamine; N-(aminoiminomethyl)-N-methylglycine; N-amidinosarcosine; N-carbamimidoyl-N-methylglycine; N-methyl-N-guanylglycine
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,Tryptophan,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid; (S)-Tryptophan; (S)-α-amino-1H-indole-3-propanoic acid; L-(-)-Tryptophan; L-(−)-tryptophan; L-Tryptophan; L-β-3-indolylalanine; Triptofano; Trp; Tryptophan; Tryptophane; Tryptophanum; W
N[C@@H](CS)C(=O)O,Cysteine,(2R)-2-amino-3-mercaptopropanoic acid; (2R)-2-amino-3-sulfanylpropanoic acid; (R)-2-Amino-3-mercaptopropanoic acid; Cisteina; Cisteinum; Cys; Cysteine; Cysteinum; Free Cysteine; L-2-Amino-3-mercaptopropionic acid; L-Cys; L-Cystein; L-cysteine; L-Zystein
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,Thiamine,Aneurin; Antiberiberi factor; Thiamin; Thiamine; thiamine(1+); thiamine(1+) ion; thiaminium; Thiaminum; Tiamina; Vitamin B1
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C,Ergocalciferol,"(3β,5Z,7E,22E)-9,10-secoergosta-5,7,10(19),22-tetraen-3-ol; (5Z,7E,22E)-(3S)-9,10-seco-5,7,10(19),22-ergostatetraen-3-ol; (5Z,7E,22E)-(3S)-9,10-secoergosta-5,7,10(19),22-tetraen-3-ol; Activated ergosterol; Ercalciol; Ergocalciférol; Ergocalciferol; Ergocalciferolum; Oleovitamin D2; Viosterol; Vitamin D-2; Vitamin D2; Vitamina D2"
C[C@@H](O)[C@H](N)C(=O)O,Threonine,"(2S,3R)-(-)-Threonine; (2S)-threonine; 2-Amino-3-hydroxybutyric acid; L-(-)-Threonine; L-2-Amino-3-hydroxybutyric acid; L-alpha-amino-beta-hydroxybutyric acid; L-Threonin; L-Threonine; L-α-amino-β-hydroxybutyric acid; Thr; Threonine; Threoninum; Treonina"
NC(=O)C1=CN([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,NADH,"1,4-dihydronicotinamide adenine dinucleotide; DPNH; NAD reduced form; Nicotinamide adenine dinucleotide (reduced); Nicotinamide-adenine dinucleotide, reduced; Reduced nicotinamide adenine diphosphate; Reduced nicotinamide-adenine dinucleotide"
Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,Folic acid,"Acide folique; ácido fólico; Acidum folicum; Folacin; Folate; Folic acid; Folsäure; N-[(4-{[(2-amino-4-oxo-1,4-dihydropteridin-6-yl)methyl]amino}phenyl)carbonyl]-L-glutamic acid; N-pteroyl-L-glutamic acid; PGA; PteGlu; Pteroyl-L-glutamate; Pteroyl-L-glutamic acid; Pteroyl-L-monoglutamic acid; Pteroylglutamic acid; Vitamin B9; Vitamin Bc; Vitamin M"
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,Icosapent,"(5Z,8Z,11Z,14Z,17Z)-5,8,11,14,17-eicosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (all-Z)-5,8,11,14,17-eicosapentaenoic acid; 5,8,11,14,17-eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; all-cis-5,8,11,14,17-eicosapentaenoic acid; all-cis-5,8,11,14,17-icosapentaenoic acid; all-cis-icosa-5,8,11,14,17-pentaenoic acid; cis-5,8,11,14,17-eicosapentaenoic acid; cis-5,8,11,14,17-EPA; cis-delta(5,8,11,14,17)-Eicosapentaenoic acid; Eicosapentaenoic acid; EPA; Icosapent; Icosapentaenoic acid; Icosapento; Icosapentum; Timnodonic acid"
CC(C)[C@H](N)C(=O)O,Valine,(2S)-2-Amino-3-methylbutanoic acid; (S)-Valine; 2-Amino-3-methylbutyric acid; L-(+)-alpha-Aminoisovaleric acid; L-alpha-Amino-beta-methylbutyric acid; L-valin; L-valine; Val; Valine
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,Vitamin A,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol; all-trans-retinol; all-trans-retinyl alcohol; all-trans-vitamin A alcohol; Retinol; Retinolum; Vitamin A1"
Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,Vitamin E,"(+)-α-tocopherol; (2R,4'R,8'R)-α-tocopherol; (R,R,R)-α-tocopherol; 5,7,8-trimethyltocol; alpha-tocopherol; d-α-tocopherol"
Cc1ncc(CO)c(CO)c1O,Pyridoxine,"2-methyl-3-hydroxy-4,5-dihydroxymethylpyridine; 3-hydroxy-4,5-bis(hydroxymethyl)-2-methylpyridine; 3-hydroxy-4,5-dimethylol-α-picoline; 5-hydroxy-6-methyl-3,4-pyridinedimethanol; Piridoxina; Pyridoxine; Pyridoxinum; Pyridoxol; Vitamin B6"
O=C(O)CCCC[C@@H]1CCSS1,Lipoic acid,"(+)-alpha-Lipoic acid; (R)-(+)-Lipoate; (R)-(+)-lipoic acid; (R)-1,2-Dithiolane-3-pentanoic acid; (R)-1,2-dithiolane-3-valeric acid; (R)-6,8-thioctic acid; (R)-lipoic acid; Alpha lipoic acid; alpha-Lipoic acid; alpha-Liponsäure; D-thioctic acid; Lipoic acid; R-(+)-thioctic acid; R-alpha-lipoic acid; Thioctic acid; Thioctic acid D-form; α-lipoic acid"
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C,Cholecalciferol,"(+)-vitamin D3; (3β,5Z,7E)-9,10-secocholesta-5,7,10(19)-trien-3-ol; (5Z,7E)-(3S)-9,10-secocholesta-5,7,10(19)-trien-3-ol; Activated 7-dehydrocholesterol; Calciol; CC; Cholecalciferol; Cholecalciferolum; Colecalciferol; Colecalciferolum; Oleovitamin D3; Vitamin D-3; Vitamin D3"
CC1=CC(=O)c2ccccc2C1=O,Menadione,"2-Methyl-1,4-Naphthalenedione; 2-Methyl-1,4-naphthochinon; 2-Methyl-1,4-naphthoquinone; Menadione; Vitamin K 3; Vitamin K3"
Nc1ncnc2nc[nH]c12,Adenine,6-Aminopurine; Adenin; Adenine; Vitamin B4
NC(=O)C[C@H](N)C(=O)O,Asparagine,"(2S)-2-amino-3-carbamoylpropanoic acid; (2S)-2,4-diamino-4-oxobutanoic acid; (S)-2-amino-3-carbamoylpropanoic acid; (S)-Asparagine; 2-Aminosuccinamic acid; alpha-aminosuccinamic acid; Asn; Asparagine; Aspartamic acid; L-2-aminosuccinamic acid; L-Asparagine; L-aspartic acid beta-amide; L-aspartic acid β-amide; α-aminosuccinamic acid"
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,Pravastatin,"(+)-(3R,5R)-3,5-dihydroxy-7-[(1S,2S,6S,8S,8aR)-6-hydroxy-2-methyl-8-{[(S)-2-methylbutyryl]oxy}-1,2,6,7,8,8a-hexahydro-1-naphthyl]heptanoic acid; Pravastatin; Pravastatin acid; Pravastatina; Pravastatine; Pravastatinum"
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,Fluvoxamine,Fluvoxamina; Fluvoxamine; Fluvoxaminum
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,Valsartan,(S)-N-Valeryl-N-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]-methyl}-valine; N-(P-(O-1H-Tetrazol-5-ylphenyl)benzyl)-N-valeryl-L-valine; N-pentanoyl-N-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]methyl}-L-valine; Valsartan
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,Ramipril,"(2S-(1(R*(R*)),2alpha,3abeta,6abeta))-1-(2-((1-(Ethoxycarbonyl)-3-phenylpropyl)amino)-1-oxopropyl)octahydrocyclopenta(b)pyrrole-2-carboxylic acid; Ramipril; Ramiprilum"
C[C@@H](Cc1ccc(O)c(O)c1)[C@H](C)Cc1ccc(O)c(O)c1,Masoprocol,"erythro-nordihydroguaiaretic acid; Masoprocol; Masoprocolum; meso-1,4-bis(3,4-dihydroxyphenyl)-2,3-dimethylbutane; meso-2,3-bis(3,4-dihydroxyphenylmethyl)butane; meso-4-[4-(3,4-dihydroxyphenyl)-2,3-dimethylbutyl]benzene-1,2-diol; meso-4,4'-(2,3-dimethyl-1,4-butanediyl)bis(pyrocatechol); meso-4,4'-(2,3-dimethyltetramethylene)dipyrocatechol; meso-NDGA; meso-nordihydroguaiaretic acid; meso-β,γ-dimethyl-α,δ-bis(3,4-dihydroxyphenyl)butan; Nordihydroguaiaretic acid"
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,Flunisolide,Flunisolida; Flunisolide; Flunisolide anhydrous; Flunisolidum
NCC(CC(=O)O)c1ccc(Cl)cc1,Baclofen,(+-)-Baclofen; 4-Amino-3-(4-chlorophenyl)butyric acid; Baclofen; Baclofène; Baclofeno; Baclofenum; beta-(4-Chlorophenyl)gaba; beta-(Aminomethyl)-4-chlorobenzenepropanoic acid; beta-(Aminomethyl)-p-chlorohydrocinnamic acid; beta-(p-Chlorophenyl)-gamma-aminobutyric acid; DL-4-Amino-3-p-chlorophenylbutanoic acid; DL-Baclofen; gamma-Amino-beta-(p-chlorophenyl)butyric acid
CC(N)Cc1ccccc1,Amphetamine,(+-)-alpha-Methylphenylethylamine; 1-phenyl-2-aminopropane; alpha-Methylbenzeneethaneamine; Amfetamina; Amfetamine; Amfetaminum; Amphetamine; beta-Aminopropylbenzene; beta-Phenylisopropylamin; Desoxynorephedrine; rac-(2R)-1-phenylpropan-2-amine; rac-amphetamine; α-methylbenzeneethaneamine; α-methylphenethylamine; β-aminopropylbenzene; β-phenylisopropylamine
CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,Pentagastrin,Pentagastrin
CN1CCC[C@H]1c1cccnc1,Nicotine,(−)-nicotine; (S)-(−)-nicotine; (S)-3-(1-methylpyrrolidin-2-yl)pyridine; (S)-3-(N-methylpyrrolidin-2-yl)pyridine; (S)-Nicotine; 3-(2-(N-methylpyrrolidinyl))pyridine; 3-(N-methylpyrollidino)pyridine; L(−)-nicotine; Nicotina; Nicotine; Nicotine betadex; Nicotine polacrilex; Nikotin; Nikotyna
CC1O[C@@]2(CS1)CN1CCC2CC1,Cevimeline,"2-Methyspiro(1,3-oxathiolane-5,3)quinuclidine; Cevimelina; Cévimèline; Cevimeline; Cevimelinum"
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,Lorazepam,Loracepam; Lorazepam; o-Chlorooxazepam; o-Chloroxazepam
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,Esmolol,(±)-esmolol; (±)-methyl p-(2-hydroxy-3-(isopropylamino)propoxy)hydrocinnamate; 3-[4-(2-Hydroxy-3-isopropylamino-propoxy)-phenyl]-propionic acid methyl ester; Esmolol; Methyl 4-(2-hydroxy-3-((1-methylethyl)amino)propoxy)benzenepropanoate; methyl p-(2-hydroxy-3-(isopropylamino)propoxy)hydrocinnamate
