,PC1,PC2,PC3,cluster,MoA
Adenine,16.645340075705345,-2.273470600837359,-1.8439223196450667,0,protein synthesis stimulant
Adenosine,-14.076698245493425,3.271908444951224,-2.985724644420271,2,adenosine receptor agonist
Adenosine phosphate,-11.603385519936475,-3.0478108492006264,-0.7266557486120899,1,adenosine receptor agonist
Adiphenine,5.533580897850866,0.09891105807740237,8.750814377951203,3,acetylcholine receptor antagonist
Afamelanotide,-14.02852027857394,-1.9626729870881603,2.1917596455245794,1,melanocyte-stimulating hormone mimetic
Afatinib,-9.809316169622845,-5.911147610283274,-3.986970909458287,1,EGFR inhibitor
Agomelatine,16.012010300875033,10.489388128555875,-1.8850531038309837,4,melatonin receptor agonist|serotonin receptor antagonist
Ajmaline,8.796376038024118,1.8988204183464688,2.3781353496092708,0,sodium channel blocker
Alatrofloxacin,-9.398682451136047,7.372979746321212,1.0651794122505163,2,bacterial DNA gyrase inhibitor
Albendazole,-3.8731000544649947,-1.640097249277103,-3.8263156223235346,1,tubulin polymerization inhibitor
Albuterol,-4.703340554095856,-0.6295722754017987,2.59093204255391,3,adrenergic receptor agonist
Alcaftadine,9.705671958383414,1.7527472473887027,0.5915520060235054,0,histamine receptor antagonist
Alclofenac,4.372407117464649,-1.7956875187536265,6.450945348956655,3,cyclooxygenase inhibitor
Alclometasone,0.16336287356181814,-2.535201278163856,3.063198275603616,3,DNA inhibitor
Alcloxa,4.340825933707433,3.3756469654807844,4.758457528159813,3,
Alectinib,-7.902430110961945,10.510213216313414,-4.033751014494498,2,ALK tyrosine kinase receptor inhibitor
Alendronic acid,-7.8270206773367095,-5.6826044642107165,-0.31503008901195356,1,bone resorption inhibitor
Alfacalcidol,20.382876744117976,-2.6288699885048206,-8.563747411193626,0,vitamin D receptor agonist
Alfentanil,5.085531162719203,-2.3168203095456663,3.748104345616179,3,
Alfuzosin,-4.535929774310394,-2.761174491802674,0.9810603510275578,1,adrenergic receptor antagonist
Alimemazine,-14.545507106546443,-5.136868024179606,-3.7827393747983646,1,histamine receptor agonist|histamine receptor antagonist
Aliskiren,-4.363309674757305,5.685602629229967,6.154277368863234,3,
Alitretinoin,12.056476980407833,-9.055648780619487,-2.9673845142601216,0,retinoid receptor agonist|retinoid receptor ligand
Allantoin,1.4474751648880266,-3.1103018940876233,5.47841550769826,3,cosmetic
Alloin,1.7132607107436648,-8.289563968067121,-5.36865995801873,3,angiogenesis inhibitor
Allopurinol,6.507846609088019,10.08189487303513,-0.20058998007784418,4,xanthine oxidase inhibitor
Almasilate,14.103102431085938,3.4132273957497685,-5.437825705694527,0,
Almitrine,-16.915973275199296,8.100749173009106,-3.3432065934657325,2,neurotransmitter agonist
Almotriptan,5.876310387154142,1.0451108600373202,5.476456219458686,3,serotonin receptor agonist
Alogliptin,-1.214436939287672,0.6131025724868449,1.8373116987932225,3,dipeptidyl peptidase inhibitor
Alosetron,-0.3742695581319402,0.6151649024697039,-3.4561466838216277,3,serotonin receptor antagonist
Alpelisib,-6.826457990377184,14.892158806827485,-5.89822285667634,2,PI3K inhibitor
Alprazolam,-9.426074465803952,-6.200029500445009,-4.756346792252356,1,
Alprostadil,-9.188863715298927,-3.014877245245582,-0.6039312602738764,1,prostanoid receptor agonist
Altretamine,-3.6343551333614506,-2.8755130413624297,3.9971197279060298,3,DNA synthesis inhibitor
Aluminium,2.8072565622539956,-1.5589717826549576,5.651399118428848,3,
Aluminium phosphate,11.236568974916159,0.9814780769486121,-0.01114436304764213,0,
Aluminum acetate,11.007409778598733,2.0234685006341633,-3.6766926129001334,0,
Aluminum chloride,13.490340217693635,-3.5641890007442525,-0.19050170852653225,0,
Aluminum chlorohydrate,7.75857864281831,-1.7874456219632051,-4.539621715807393,0,
Aluminum hydroxide,8.433461790528401,-4.224522821266117,-5.881567771430918,0,
Aluminum oxide,13.318266831062495,-5.071443172747251,-2.8445210535576337,0,
Aluminum subacetate,1.6999506472240682,-0.00941533052781023,6.129140628638578,3,
Aluminum sulfate,14.868240716721647,1.9898593924409,-0.9511575185439245,0,
Aluminum zirconium octachlorohydrex gly,3.3052458137928387,-0.5147780001460969,5.019446474580209,3,
Alverine,6.177563945695077,5.147106247520587,4.601562976691385,4,muscle relaxant
Alvimopan,11.395885747504648,3.1192113464548377,6.8413729790450475,0,opioid receptor antagonist
Amantadine,1.8870562022871873,12.443770293662107,-2.1346583120222524,4,glutamate receptor antagonist
Ambenonium,-0.8249465150267135,-2.5797374320143374,1.8556208019652023,3,cholinesterase inhibitor
Ambrisentan,-12.72782338507322,1.7656850330994478,-4.2562802564303945,1,endothelin receptor antagonist
Ambroxol,2.4165068741520943,10.708517471508499,4.419088679938589,4,sodium channel blocker
Amcinonide,-5.098397992375655,1.0393451796307285,2.222755919162697,3,glucocorticoid receptor agonist
Amifampridine,13.797194793800818,4.489235164001268,-0.24126716087723707,0,potassium channel blocker
Amifostine,-10.241306738514913,-5.434065927237541,-0.6365177659486406,1,reducing agent
Amikacin,-15.224041237562309,-0.6622808004351496,-1.670161339914443,1,bacterial 30S ribosomal subunit inhibitor
Amiloride,0.8974351857433811,13.651156939983126,4.56639538425967,4,sodium channel blocker
Amiloxate,9.503887118104872,2.73519345988089,-2.655303131201925,0,
Aminobenzoic acid,3.83241919286801,0.9443461435034856,6.9000480202968175,3,food preservative
Aminocaproic acid,-11.756278002223327,9.323351477893178,-4.678815043655156,2,plasminogen activator inhibitor
Aminoglutethimide,-2.905956463937331,1.2414378680012257,3.2295447001004955,3,glucocorticoid receptor antagonist
Aminohippuric acid,-11.962603597190009,-0.9938737177956861,1.086739879033397,1,
Aminolevulinic acid,-6.071491120216926,11.037862473787458,-1.8602943625525634,2,oxidizing agent
Aminometradine,4.97299557350476,-2.4424661530759435,5.964271845165068,3,
Aminophenazone,6.191699784465972,9.00557528459797,1.7082360423507301,4,cyclooxygenase inhibitor
Aminophylline,-4.124598827977661,-1.9275287566378467,4.5238516239203745,3,adenosine receptor antagonist
Aminosalicylic acid,-5.0016606423177645,0.16993151643297813,5.209761695368903,3,cyclooxygenase inhibitor|prostanoid receptor antagonist
Amiodarone,13.472532280787359,8.275529941904345,-5.518321174923878,4,potassium channel blocker
Amisulpride,-8.535223881048513,-1.6883275432724452,-1.4490319557445623,1,dopamine receptor antagonist
Amitriptyline,14.214139081194956,6.275503115690313,-4.848257286043352,4,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI)
Amitriptylinoxide,1.912908081651282,-5.4830652093811185,-4.37766243164395,3,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI)
Amlexanox,-5.596730718834988,0.9291089997297479,-1.5004010597962651,1,histamine receptor modulator
Amlodipine,-5.85000141289587,4.122527721386463,0.5538231679869849,1,calcium channel blocker
Ammonia N-13,13.852194562037043,-3.169799076856316,4.355573150400087,0,
Ammonium carbonate,13.75467790011671,-3.4982847261329435,1.4969232382754905,0,
Ammonium chloride,13.712636104876506,-2.6987019035736117,-2.8162881677575817,0,
Ammonium lactate,4.922771862207484,2.056285684696769,5.160677170429797,3,
Amobarbital,-3.047351830804752,-2.322256866749472,3.4593664977218976,3,
Amodiaquine,3.053964928825953,4.800611539581901,2.9860297686789448,4,histamine receptor agonist
Amorolfine,3.3683939476058504,1.5960990747729629,1.5231081602887784,3,membrane integrity inhibitor
Amoxapine,-2.9630962380448747,2.870650054726599,-0.9234641000074083,3,norepinephrine reputake inhibitor
Amoxicillin,-6.278615330076609,0.34303837574783924,5.197302691723139,1,penicillin binding protein inhibitor
Amphetamine,-2.1877909082831692,-2.7471346742590685,1.9857840354647884,3,histamine receptor antagonist
Amphotericin B,-11.446433660619226,-0.2326308954409978,2.290396157324149,1,membrane permeability enhancer
Ampicillin,-10.907410578043319,-1.8704463997805978,0.9837237418839374,1,bacterial cell wall synthesis inhibitor
Amprenavir,-5.172301742555318,-3.210145989282222,-2.4868899574480507,1,HIV protease inhibitor
Amrinone,7.964392464441631,-3.743859354320304,-5.113506136461374,0,phosphodiesterase inhibitor
Amsacrine,12.428561351548765,-1.4664916229891782,-2.3247494905231245,0,topoisomerase inhibitor
Amyl Nitrite,8.562203312568334,1.7496902992553978,4.929388908019358,0,atrial natriuretic peptide receptor agonist
Amylmetacresol,4.168299267991505,0.04392552340484922,1.0371598056397733,3,
Amylocaine,11.62388478350095,6.924197093444755,4.206775631770282,4,
Anagrelide,15.447768577863108,-4.411860309535222,-1.5402577000609594,0,phosphodiesterase inhibitor
Anastrozole,-4.212518556073629,5.375187110197412,5.027580435544287,3,aromatase inhibitor
Anethole,8.54611173763023,-11.006400835910403,-5.7599405993878765,0,glutathione transferase stimulant
Anethole trithione,13.71322429307605,-11.01504942783338,-2.73894385279899,0,glutathione transferase stimulant
Anileridine,0.6817047372149205,2.4889077859314774,4.209574936982736,3,phosphatidylglycerophosphatase inhibitor
Anisindione,1.614684606094654,-1.6628681874980735,0.22386346208575778,3,vitamin K antagonist
Anisotropine methylbromide,7.098860791140606,-2.3023596244528477,3.908245391954317,0,acetylcholine receptor antagonist
Antazoline,9.271921028120044,1.0188265820843843,1.5797401522066137,0,antihistamine
Anthralin,21.252786481269364,-6.997286793339842,-8.50749397208422,0,DNA synthesis inhibitor
Antipyrine,1.1925401957295196,4.727658213363565,6.1866772116394095,3,cyclooxygenase inhibitor
Antrafenine,2.636148046561786,-0.05478083667162557,-1.764144579116207,3,
Apalutamide,6.012043662136332,10.927880351718382,-2.304379050957292,4,androgen receptor antagonist
Apixaban,2.6950654784006605,4.2476679021469765,-3.9707687101367672,4,coagulation factor inhibitor
Apomorphine,-0.09906302809206555,-5.412297321253297,-2.543334774624413,3,dopamine receptor agonist
Apraclonidine,5.268341026403282,3.842503062995278,5.81384375981636,3,adrenergic receptor agonist
Apremilast,5.171241294408506,-3.115263431529467,-0.7412778632337177,3,phosphodiesterase inhibitor
Aprepitant,-7.724571092055185,-2.0107022388521023,-0.8500416006578749,1,tachykinin antagonist
Aprocitentan,-4.122618393549595,-2.453649292799077,-5.452518410206136,1,endothelin receptor antagonist
Apronalide,8.32348900907104,-5.062289306208539,-1.647454926398081,0,cytochrome P450 modulator
Arbutamine,-8.086355945790274,-3.7170122589840995,-1.1918697757427932,1,melanin inhibitor
Arbutin,-15.43165909292187,9.387561019916552,-2.8085662342858457,2,melanin inhibitor
Arformoterol,-3.2474426664838156,0.09312416927223226,-0.6741104601391937,3,adrenergic receptor agonist
Argatroban,-2.932950191219319,2.6165798342825974,4.2408157277631755,3,thrombin inhibitor
Arimoclomol,3.013974253070095,-4.092813689391676,-6.010183039865772,3,
Aripiprazole,-6.519076428671612,-3.8415065652819393,-0.1755732502996255,1,serotonin receptor agonist|serotonin receptor antagonist
Aripiprazole lauroxil,-1.5969798143403289,0.1665648512558144,-2.9463287711687913,3,serotonin receptor agonist
Armodafinil,-17.286867464742397,3.4182762941533675,0.03905982489785591,2,adrenergic receptor agonist
Arsenic trioxide,-9.196337969457186,-5.0069887669802915,1.1292586432903198,1,apoptosis stimulant
Artemether,-10.914731891996619,-0.9979226815720832,-1.2437484251864934,1,antimalarial agent
Artemotil,-10.382396060619316,0.8604254070319132,-0.1374854217960813,1,
Artenimol,-3.370330717982251,1.0478026174741515,1.4328984745829658,3,antimalarial agent
Artesunate,-6.17027878389172,3.346179537551551,-2.792547935963791,1,DNA synthesis inhibitor
Articaine,-4.915390442634702,-1.0032505694075706,1.1960383707216986,1,local anesthetic
Arzoxifene,4.910733883175471,-2.6189539661147023,-3.074441377365495,0,selective estrogen receptor modulator (SERM)
Asciminib,-4.950636313292469,13.6052224386587,-4.72381296305001,2,Bcr-Abl kinase inhibitor
Ascorbic acid,7.547885044726147,-7.353275232213311,0.6350515330129929,0,antioxidant
Asenapine,10.28688319827286,-4.15723311402147,-1.8298672217733167,0,dopamine receptor antagonist|serotonin receptor antagonist
Asparagine,8.33716458546885,7.451319271616266,-1.3500047596031939,4,
Aspartic acid,0.03033833425345113,0.09046194517513446,-2.2692110867873554,3,metallic radical formation stimulant
Astemizole,-14.153184898572317,-3.441243496197626,-2.695491408739035,1,histamine receptor antagonist
Asunaprevir,-15.231727891996911,9.386703393462838,-4.614453351942824,2,HCV inhibitor
Ataluren,-6.8076597866018504,2.608729460688254,1.2648087019395924,1,CFTR channel agonist|dystrophin stimulant
Atazanavir,-12.87374492551139,-6.851163172971248,-4.237065245838393,1,HIV protease inhibitor
Atenolol,-8.148781230015238,-3.4732556840875306,2.2831516305290984,1,adrenergic receptor antagonist
Atogepant,-2.0161159464766323,6.086310346126045,0.2495669484664558,3,
Atomoxetine,0.7480537117096911,-1.219460717782534,1.3539826556521573,3,norepinephrine transporter inhibitor
Atorvastatin,3.781894546577767,3.8489693266792537,-8.019037010230102,4,HMGCR inhibitor
Atosiban,2.5125787205726673,-3.9224893726533523,-0.564057866902808,3,oxytocin receptor antagonist
Atovaquone,2.8783507655304725,9.34031108510702,1.2283957213434766,4,mitochondrial electron transport inhibitor
Atracurium besylate,-10.954159519699958,-4.441095252794329,-0.976588923019296,1,
Atropine,-8.600471917010612,-3.4845597748849335,4.201453327139805,1,acetylcholine receptor antagonist
Attapulgite,3.4588196135604883,-0.7905645988640527,-2.1040102797777265,3,
Auranofin,-13.12479566707433,-4.255767393218871,-3.6908100658355387,1,NFkB pathway inhibitor
Aurothioglucose,-4.191465151021785,-2.9984183490256666,1.4230854158188673,3,PKC inhibitor
Aurothioglycanide,13.85165764934637,-4.291875606423185,-1.6206154524805187,0,
Avacopan,-3.2655239198007178,2.42919838413149,-6.660515708824703,3,complement inhibitor
Avanafil,7.474595806616636,7.337958877834552,1.2866917442314254,4,phosphodiesterase inhibitor
Avapritinib,-10.358975642731425,9.011538801637377,-3.8074975144588605,2,KIT inhibitor
Avatrombopag,12.717442074656645,-4.452392075381635,-3.6174142178275677,0,thrombopoietin receptor agonist
Avibactam,-0.2538695441869499,2.77057125541132,5.846530524337935,3,beta lactamase inhibitor
Avobenzone,7.200988622895364,-5.556856490848271,-4.087032508572738,0,topical sunscreen agent
Axitinib,6.29476039230411,-1.7822016172124018,-1.5368300440193774,0,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
Azacitidine,8.841110072820348,-1.2233322307687917,-5.366922953064642,0,DNA methyltransferase inhibitor
Azaribine,4.048132248497257,-5.769510190341878,-6.120994144368919,0,
Azatadine,1.3779597439911384,4.043432715185347,1.7058771428839683,3,histamine receptor antagonist
Azathioprine,4.272283044647932,5.624149979340142,-4.925348631934499,4,dehydrogenase inhibitor
Azelaic acid,-16.460637046521445,7.666073506587309,-3.8125792873627424,2,tyrosinase inhibitor
Azelastine,-2.9876360243822386,0.019229561559062535,-3.076010355627812,3,histamine receptor antagonist
Azilsartan medoxomil,-5.214100572557741,-5.7909716680672245,-1.0261592372902058,1,angiotensin receptor antagonist
Azithromycin,-3.011956214062978,-1.4956307770625434,-1.0758502637898524,3,bacterial 50S ribosomal subunit inhibitor
Azlocillin,-11.52263897787772,-2.0819145150502942,-1.5709254341724381,1,bacterial cell wall synthesis inhibitor
Aztreonam,6.557549511739762,0.07959323490606472,-0.6250312787756515,0,bacterial cell wall synthesis inhibitor
Bacampicillin,-4.776703900707936,-3.455628876973631,3.50642795566239,3,bacterial cell wall synthesis inhibitor
Bacitracin,-9.83019960271588,0.8148369735688487,1.786592175143506,1,bacterial cell wall synthesis inhibitor
Baclofen,-10.034328968001546,0.6355557119115833,0.09328402996421511,1,benzodiazepine receptor agonist
Baloxavir marboxil,-1.4293101974981164,3.6295729252287097,2.94337089036764,3,endonuclease inhibitor
Balsalazide,-8.493365028268192,-4.710953338898192,3.3215590927782848,1,cyclooxygenase inhibitor
Baricitinib,4.534298451534194,11.141590744685606,-7.925440503512875,4,JAK inhibitor
Barium sulfate,7.424268212405556,-0.15225181067940372,-0.5065015626782793,0,
Bazedoxifene,22.376741663893956,-6.480355770832664,-6.085902308526974,0,selective estrogen receptor modulator (SERM)
Beclomethasone dipropionate,3.509083693726693,2.973338584853164,3.6961523137133483,3,glucocorticoid receptor agonist
Bedaquiline,2.8486469630513414,-6.5833704015132195,0.2944075157411199,3,ATPase inhibitor
Belinostat,-2.6106105701483813,2.8133816526717004,-6.635021627964865,3,HDAC inhibitor
Belumosudil,12.551821193765779,-5.087281593563875,-6.975609088458448,0,
Belzutifan,-12.63675525570362,4.868364101293795,2.287560510218742,2,
Bemotrizinol,7.4826720338161925,-1.7378863565735632,-0.33812194201107976,0,
Bempedoic acid,-2.7914968580449564,0.08614323821027753,-1.3873532903171881,3,AMPK inhibitor
Benazepril,-7.72964111091075,-1.640040744025273,-0.4942207442917835,1,angiotensin converting enzyme inhibitor
Bendamustine,-18.289821259927297,8.416313808460819,-3.9365567774910835,2,DNA inhibitor
Bendazac,-0.6598983387339473,10.996144987004225,0.5701864820315252,4,cyclooxygenase inhibitor
Bendroflumethiazide,19.19941165879921,0.5517383361362034,3.8383919498580346,0,sodium/potassium/chloride transporter inhibitor
Benfotiamine,-8.422168002658966,-1.9811539958823254,1.7143720092712194,1,antioxidant
Benorilate,-5.363782007113506,-5.01039790554845,2.7555933278491302,1,
Benoxaprofen,0.7863500986163175,1.4699015547533638,5.21368018958084,3,prostaglandin inhibitor
Benperidol,-0.009164693816885583,6.007350367907579,2.6695018077534387,3,dopamine receptor antagonist
Benserazide,-10.148885832412441,-4.352115445234689,-0.9412571795799126,1,DOPA decarboxylase inhibitor
Benzatropine,-8.038049999942388,-0.5036510322467914,3.432810217791038,1,acetylcholine receptor antagonist
Benzethonium,-17.26513219605229,-3.4245923211834772,-2.774763131312625,1,sodium channel blocker
Benzgalantamine,-6.576148628299401,-2.1597669862557214,-0.8691780270200496,1,acetylcholinesterase inhibitor
Benzhydrocodone,8.296606584840806,-6.685081089795876,-2.7032558430418168,0,
Benziodarone,7.4413237260803005,13.241201718363726,-3.4350555836148624,4,chloride channel blocker
Benznidazole,10.77898021570749,7.388533820035009,-1.218770549242194,4,DNA synthesis inhibitor
Benzocaine,-14.755611590189217,-1.4202058016686323,2.389049377797702,1,sodium channel blocker
Benzoic acid,0.6726814078838793,-9.118802177215372,-2.1062249659824435,3,food preservative
Benzoin,-3.855097682505221,-6.155862127703773,2.114233592118307,3,
Benzonatate,-3.8117979568103677,-1.762899299805899,0.12402807978970938,3,local anesthetic
Benzoyl peroxide,19.39901007779602,0.03393783568155445,-3.7935192006111693,0,oxidizing agent
Benzphetamine,2.7134807524915585,9.26613148976149,1.656745000047778,4,
Benzthiazide,-5.748640307148084,7.506993608702874,-1.7267554126255609,2,carbonic anhydrase inhibitor
Benzydamine,-11.021401945974786,11.88062164771294,-3.3880917765302336,2,prostanoid receptor antagonist
Benzyl alcohol,17.32610680398907,-7.380675597429699,3.239751100807553,0,local anesthetic
Benzyl benzoate,10.007103160789297,0.1548222966762801,3.708094237621354,0,lipase inhibitor
Benzylparaben,4.776492945994092,-4.907682107348917,1.7489352494013937,3,
Benzylpenicillin,-1.2625489547586053,10.933709012021254,-0.2055679959116335,4,penicillin binding protein inhibitor
Benzylpenicilloyl polylysine,-7.685294115271869,3.178535180211306,2.5915760638906784,1,
Bepotastine,-6.065029139982113,4.406831513531059,5.809519697509294,3,histamine receptor antagonist
Bepridil,3.2068422968247376,0.7547312318118478,-1.7036786830847312,3,calcium channel blocker
Berberine,-18.677232087635073,2.301552046866,-1.9017298127453135,2,LDL receptor activator
Berotralstat,-9.030696401192142,11.772106655838757,-0.011350552620311018,2,
Besifloxacin,-1.4206711433768817,-2.1366270408885097,0.3671296909767656,3,bacterial DNA gyrase inhibitor
Beta carotene,15.599710433890037,-10.193282610495759,-2.6680201430862107,0,
Betahistine,-2.8433906395042605,-1.0766616229914616,-0.3082502263409311,3,histamine receptor agonist|histamine receptor antagonist
Betaine,7.2625272800328755,2.414010901297013,5.495177591090761,3,nitric oxide donor
Betamethasone,-8.887643558702013,0.649846619723175,1.4020699386063877,1,glucocorticoid receptor agonist
Betamethasone phosphate,-6.492243553005981,-0.23425896719286102,1.3851033097044938,1,
Betaxolol,5.156454457121695,1.4597325293223018,2.3016320755895223,3,adrenergic receptor antagonist
Betazole,2.4805352479971656,-2.9262307090736543,7.718468163991674,3,histamine receptor agonist
Bethanechol,-8.386310500086356,-3.6912489542161984,0.23071109607192397,1,acetylcholine receptor agonist
Bethanidine,5.100978208134524,6.046375162682394,-2.384576322114974,4,
Betiatide,-1.8273986913667915,-1.1667200656135737,5.8302908459537965,3,
Betrixaban,13.202777924011148,5.787657842877422,-2.971513175310688,4,coagulation factor inhibitor
Betulinic Acid,0.850755076693207,-3.7666168413668837,-2.9010022218975533,3,apoptosis stimulant|NFkB pathway inhibitor
Bexagliflozin,-8.524080012552218,1.0142407564482425,-3.7441031289653104,1,solute carrier family member inhibitor
Bexarotene,18.256907765802996,-0.47895824548978566,-5.906786002870372,0,retinoid receptor agonist
Bezafibrate,-0.3050658606474061,-3.168644895616704,5.240280743975173,3,PPAR receptor agonist
Bicalutamide,1.3213667963173163,10.082430049370458,1.9481402723196368,4,androgen receptor antagonist
Bicisate,7.6076072024101045,-0.5895614903226831,4.710112346198888,0,
Bictegravir,-4.572454874481031,-1.2198666498939843,1.851190686566159,3,HIV integrase inhibitor
Bifonazole,5.572628258004378,1.706012504778713,2.0294109739527197,3,sterol demethylase inhibitor
Biguanide,3.339652084074797,2.4222720782580716,5.996818235803128,3,
Bilastine,2.0960754931701513,-2.337454811295637,0.5603906507966452,3,histamine receptor antagonist
Bimatoprost,-10.401763248429654,9.754427133256467,-1.4966149074235011,2,prostanoid receptor agonist
Binimetinib,-3.3907386559756065,6.4218124981713185,-2.156577919793402,2,MEK inhibitor
Bioallethrin,3.7548891433519556,-1.117013921892515,-1.7368590066696008,3,
Biotin,-9.8283029942024,-1.2628322335921844,4.775551472183844,1,vitamin B
Biperiden,-9.234269936390188,-0.39120130186769503,2.391233867034135,1,acetylcholine receptor antagonist
Bisacodyl,2.0993534111898784,-4.265527824952171,-0.8509188664373618,3,laxative
Bismuth subcitrate potassium,-9.471534680275404,0.045496883590646464,0.3237596224258579,1,
Bismuth subgallate,-6.901408980699153,-6.350486793915191,-2.6080597188055648,1,nitric oxide synthase inhibitor
Bismuth subnitrate,6.794847171816145,-7.389075568476828,-1.8222286288582374,0,
Bismuth subsalicylate,12.807796720017429,-6.122311578964078,-3.8666466677698135,0,antacid
Bisoctrizole,-4.618847036474937,-3.510231774977793,-1.1251884071250267,1,
Bisoprolol,1.383786974852329,10.844687841345461,0.5628957442634579,4,adrenergic receptor antagonist
Bisoxatin,15.46543366794076,-3.2489985107612176,-5.64516580702125,0,vitamin B
Bisphenol A diglycidyl ether,11.277321940867893,-0.3154658957183119,-0.6982176243610208,0,
Bithionol,5.737662197572746,-2.307785851608542,-5.9466999381373205,0,autotaxin inhibitor
Bivalirudin,-12.066647206688165,7.799276991532959,0.32959909733535653,2,thrombin inhibitor
Bleomycin,-4.32513641582133,-1.1678356024257681,-1.3463912521511086,1,DNA synthesis inhibitor
